STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Dec-29-2018,52,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 10,High,Jan-19-2019,3,2018-19
Alabama,http://adph.org/influenza/,"""Influenza Surveillance""",Level 10,High,Jan-26-2019,4,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 02,Minimal,Oct-06-2018,40,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 02,Minimal,Oct-13-2018,41,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 02,Minimal,Oct-20-2018,42,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 03,Minimal,Oct-27-2018,43,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 04,Low,Nov-03-2018,44,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 05,Low,Nov-10-2018,45,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 05,Low,Dec-08-2018,49,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 06,Moderate,Nov-17-2018,46,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 06,Moderate,Nov-24-2018,47,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 06,Moderate,Dec-01-2018,48,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 07,Moderate,Jan-12-2019,2,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 08,High,Dec-15-2018,50,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 09,High,Dec-22-2018,51,2018-19
Alabama,http://adph.org/influenza/,"Influenza Surveillance""""",Level 09,High,Jan-05-2019,1,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Nov-03-2018,44,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Nov-10-2018,45,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Dec-01-2018,48,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Dec-08-2018,49,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 01,Minimal,Jan-12-2019,2,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"""Influenza Surveillance Report""",Level 10,High,Jan-26-2019,4,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 02,Minimal,Nov-17-2018,46,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 02,Minimal,Nov-24-2018,47,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 02,Minimal,Dec-15-2018,50,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 02,Minimal,Dec-22-2018,51,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 03,Minimal,Dec-29-2018,52,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 03,Minimal,Jan-05-2019,1,2018-19
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report""""",Level 04,Low,Jan-19-2019,3,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 01,Minimal,Oct-06-2018,40,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 01,Minimal,Oct-13-2018,41,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 01,Minimal,Oct-20-2018,42,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 01,Minimal,Oct-27-2018,43,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 02,Minimal,Nov-03-2018,44,2018-19
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance""""",Level 02,Minimal,Nov-10-2018,45,2018-19
