"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng","state"
"1",17551239,1102796856688630016,1551762234,"doodlesauce","Benny slept all day, Annie recovered only to get body slammed by the flu tonight again. Lukey came home from school with a buck02 temp and had zero desire to take tamiflu. We can put a man on the moon but can’t make meds taste like birthday cake?","Twitter for iPhone",246,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/6bf37646e74026c0.json","Westwood","Westwood, KY","city","United States","US","c(NA, NA)","c(NA, NA)","c(-85.589626, -85.580172, -85.580172, -85.589626, 38.274792, 38.274792, 38.2839449, 38.2839449)","https://twitter.com/doodlesauce/status/1102796856688631809","doodlesauce","","Creative Solutions Guy!","https://t.co/wnbpEwhBhO",FALSE,520,674,15,6960,3501,1227321057,FALSE,"https://t.co/wnbpEwhBhO","https://www.behance.net/bradhoward","en","https://pbs.twimg.com/profile_banners/17551239/1510079964","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/979697929077379074/vYzlBKeK_normal.jpg",38.27936845,-85.584899,"Kentucky"
"2",17551239,1102445854097619968,1551678548,"doodlesauce","Here’s what’s happening. Numerous Howard’s sick.
Luke won’t go back to sleep because he wants his other @starwars shirt and refuses to bargain. Annie and Benny on the good stuff Tamiflu- me? Knocking back Honey Nut Cheerios","Twitter for iPhone",223,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20106852","starwars","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/6bf37646e74026c0.json","Westwood","Westwood, KY","city","United States","US","c(NA, NA)","c(NA, NA)","c(-85.589626, -85.580172, -85.580172, -85.589626, 38.274792, 38.274792, 38.2839449, 38.2839449)","https://twitter.com/doodlesauce/status/1102445854097620992","doodlesauce","","Creative Solutions Guy!","https://t.co/wnbpEwhBhO",FALSE,520,674,15,6960,3501,1227321057,FALSE,"https://t.co/wnbpEwhBhO","https://www.behance.net/bradhoward","en","https://pbs.twimg.com/profile_banners/17551239/1510079964","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/979697929077379074/vYzlBKeK_normal.jpg",38.27936845,-85.584899,"Kentucky"
"5",101055722,1102796418887129984,1551762129,"jessraee54","I’m pretty sure I have either food poisoning or the stomach flu so I called in and my charge nurse was excited because then he didn’t have to pull anyone to another unit from us being up staffed. Glad I could help 🤷🏻‍♀️","Twitter for iPhone",219,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/bf89ea14b197cfe6.json","Comstock Park","Comstock Park, MI","city","United States","US","c(NA, NA)","c(NA, NA)","c(-85.699605, -85.6327768, -85.6327768, -85.699605, 43.028969, 43.028969, 43.079871, 43.079871)","https://twitter.com/jessraee54/status/1102796418887139329","jess 💋","Grand Rapids, Michigan","“Fork prints in ice cream are an indication of a world in chaos” | DU Panther Nursing Student 🐾♥️ | snap ➡️ jessica_eckhoff",NA,FALSE,338,296,0,6394,22672,1262378971,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/101055722/1547004488","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1099403225768304640/8t4ztshH_normal.jpg",43.05442,-85.6661909,"Michigan"
"69",817361798072450944,1101917404483980032,1551552556,"starbaby1979","@AldosWorldTV The flu has been brutal this year. Ppl are getting the flu shot but it's for Type B. The flu most are popping up with is Type A.","Twitter for Android",128,1.10167e+18,1149945661,"AldosWorldTV",FALSE,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1149945661","AldosWorldTV","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/44fafdc06c719c62.json","Republic","Republic, MO","city","United States","US","c(NA, NA)","c(NA, NA)","c(-93.507092, -93.420182, -93.420182, -93.507092, 37.096369, 37.096369, 37.155321, 37.155321)","https://twitter.com/starbaby1979/status/1101917404483989506","Amy"," Missouri, USA","Life is about second chances,never take life for granted,for you may not have a tomorrow. Be kind, humble, patient & understanding.Enjoy life!",NA,FALSE,805,1020,1,13154,18353,1483709213,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/817361798072451072/1540825443",NA,"http://pbs.twimg.com/profile_images/1083120538153832452/35PpAvD5_normal.jpg",37.125845,-93.463637,"Missouri"
"70",817361798072450944,1102794743849929984,1551761730,"starbaby1979","@AldosWorldTV @MoeSargi The flu is bad this year. The flu shots are immunization for Type B. Ppl been popping up with Type A","Twitter for Android",100,1.10273e+18,1149945661,"AldosWorldTV",FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""1149945661"", ""904201081"")","c(""AldosWorldTV"", ""MoeSargi"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/44fafdc06c719c62.json","Republic","Republic, MO","city","United States","US","c(NA, NA)","c(NA, NA)","c(-93.507092, -93.420182, -93.420182, -93.507092, 37.096369, 37.096369, 37.155321, 37.155321)","https://twitter.com/starbaby1979/status/1102794743849930752","Amy"," Missouri, USA","Life is about second chances,never take life for granted,for you may not have a tomorrow. Be kind, humble, patient & understanding.Enjoy life!",NA,FALSE,805,1020,1,13154,18353,1483709213,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/817361798072451072/1540825443",NA,"http://pbs.twimg.com/profile_images/1083120538153832452/35PpAvD5_normal.jpg",37.125845,-93.463637,"Missouri"
"82",516094504,1102794028565910016,1551761559,"__MikeRocks","Damn y’all really fw hookah like that? Who wants to get light headed off tobacco.. I rather hit a blunt. And besides thats how niggas catch pneumonia. Y’all doing too much. https://t.co/h3y7VC3fAT","Twitter for iPhone",172,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,"twitter.com/mb_david13/sta…","https://t.co/h3y7VC3fAT","https://twitter.com/mb_david13/status/1102621410214797315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",1.10262e+18,"Us New York Niggas Couldn’t Wait Anymore https://t.co/cceGwrHN2Z",1551720404,"Twitter for iPhone",1786,748,2880324579,"MB_David13","David MB Cruzado",467,456,16059,"","#KS13 #MaggiesBoys https://t.co/SnrdUMpJfP",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/010bf7f82c40a09c.json","Holyoke","Holyoke, MA","city","United States","US","c(NA, NA)","c(NA, NA)","c(-72.703482, -72.591564, -72.591564, -72.703482, 42.162001, 42.162001, 42.285335, 42.285335)","https://twitter.com/__MikeRocks/status/1102794028565913600","MikeRocks","Massachusetts, USA","City 2 City State 2 State ✈️ ; Catch me if you can 🌎",NA,FALSE,543,295,9,27346,13416,1331000235,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/516094504/1548948020","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1090993181213290500/pTF1JXon_normal.jpg",42.223668,-72.647523,"Massachusetts"
"83",176317930,1102793930238809984,1551761536,"DonCali_","@eaajjj It's flu season https://t.co/xMqlYeGDZy","Twitter for iPhone",15,1.10279e+18,30375851,"eaajjj",FALSE,FALSE,1,0,NA,NA,NA,NA,NA,"http://pbs.twimg.com/tweet_video_thumb/D03pOl-WoAIc8H2.jpg","https://t.co/xMqlYeGDZy","https://twitter.com/DonCali_/status/1102793930238816257/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/D03pOl-WoAIc8H2.jpg","https://t.co/xMqlYeGDZy","https://twitter.com/DonCali_/status/1102793930238816257/photo/1",NA,"30375851","eaajjj","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/e4a0d228eb6be76b.json","Philadelphia","Philadelphia, PA","city","United States","US","c(NA, NA)","c(NA, NA)","c(-75.280284, -74.955712, -74.955712, -75.280284, 39.871811, 39.871811, 40.13792, 40.13792)","https://twitter.com/DonCali_/status/1102793930238816257","Don Cali 👑","Wherever there’s food ","Whew Chilllle The Ghetto, the ghetto.",NA,FALSE,610,527,5,60969,15248,1281333164,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/176317930/1433964009","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1095549071413133314/wuj1LirI_normal.jpg",40.0048655,-75.117998,"Pennsylvania"
"85",763098650,1102793653989170048,1551761470,"Healthy_PhD","Our next @scicomm_jc chat (3/12 6pm PST) is on vaccine hesitancy! FYI high kid vaccination rates are important as vaccines for childhood diseases appear to be ""evolution-proof"" (pathogens don't evolve around them vs. for antibiotics &amp; flu) https://t.co/JmgDqP4V0a … #scicommjc","Twitter Web Client",280,NA,NA,NA,FALSE,FALSE,1,1,"scicommjc",NA,"youtube.com/watch?v=Teyxhe…","https://t.co/JmgDqP4V0a","https://www.youtube.com/watch?v=TeyxhehhEuo",NA,NA,NA,NA,NA,NA,NA,NA,"8.77926E+17","scicomm_jc","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/b71fac2ee9792cbe.json","Sacramento","Sacramento, CA","city","United States","US","c(NA, NA)","c(NA, NA)","c(-121.576613, -121.362715, -121.362715, -121.576613, 38.43792, 38.43792, 38.6855236, 38.6855236)","https://twitter.com/Healthy_PhD/status/1102793653989171200","Mariya V. PhD","Los Angeles, CA","Global Health PhD (#ASU) 🎓 Research Associate at @LMUstudyLA 📊 Lecturer at #LMU 👩🏻‍🏫 Science Communicator with @Scicomm_JC 🤓 [all views are mine!]","https://t.co/tYkLsGvmDB",FALSE,362,373,12,1263,3195,1345182927,FALSE,"https://t.co/tYkLsGvmDB","http://mvoytyuk.com","en","https://pbs.twimg.com/profile_banners/763098650/1359228032","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067661142363762688/JzcxiYEC_normal.jpg",38.5617218,-121.469664,"California"
"110",1396207087,1102790977704470016,1551760832,"BelindaSetters","Home day 4 w/ flu but feeling grateful (when I’m not coughing) so here’s a Mindfully Thankful list for those feeling crabby today:  

1) Vaccines - b/c even though I’m home sick, I’m not in ICU on a vent w/ pneumonia or worse; 
2) Colleagues covering sick time not complaining. 1-","Twitter for iPhone",280,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/095534ad3107e0e6.json","Louisville","Louisville, KY","city","United States","US","c(NA, NA)","c(NA, NA)","c(-85.847503, -85.597188, -85.597188, -85.847503, 38.108678, 38.108678, 38.282432, 38.282432)","https://twitter.com/BelindaSetters/status/1102790977704476673","Dr. Belinda Setters","Louisville, Ky","Geriatric Hospitalist & Palliative Care MD. Puppies, kindness & diversity. #Delirium #Frailty #Geriatrics . Tweets are my own. Not medical advice.",NA,FALSE,1506,686,111,13266,12804,1367466594,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/1396207087/1545271954","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1073480667185455104/Li01bcBd_normal.jpg",38.195555,-85.7223455,"Kentucky"
"111",836084565378739968,1102636120561639936,1551723911,"_kaylaliese","My immune system is so weak, id rather be anywhere than this flu infested patient first, oh my goodness. I feel the germs infiltrating my body and attacking my health 😩","Twitter for iPhone",168,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/ceaed3406b427e05.json","Randallstown","Randallstown, MD","city","United States","US","c(NA, NA)","c(NA, NA)","c(-76.843251, -76.7465309, -76.7465309, -76.843251, 39.343366, 39.343366, 39.392708, 39.392708)","https://twitter.com/_kaylaliese/status/1102636120561647616","Kayla","","1908 // iG-Kaylaliese",NA,FALSE,3383,3788,8,1729,4777,1488173068,FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/836084565378740229/1546996733",NA,"http://pbs.twimg.com/profile_images/1093378127924027392/QO7ok4Aj_normal.jpg",39.368037,-76.79489095,"Maryland"
